,titre,adresse,note,Free High Speed Internet (WiFi),Bar / lounge,Fitness Center with Gym / Workout Room,Parking,Breakfast,Free breakfast,Restaurant,Pool,Ville,prix_moyenne,test,Ville_tsf
220,Le Meridien Visconti Rome,"['Via Federico Cesi 37, 00193 Rome Italy', 'Via Flaminia 215, 00196 Rome Italy', '', 'Via Tommaso Salvini 18, 00197 Rome Italy', 'Via del Boschetto 13, 00184 Rome Italy', 'Viale Shakespeare 29, 00144 Rome Italy']",3.0,1,1,1,1,0,1,0,0,Rome,99,160,7
221,Le Meridien Visconti Rome,"['Via Federico Cesi 37, 00193 Rome Italy', 'Via Flaminia 215, 00196 Rome Italy', '', 'Via Tommaso Salvini 18, 00197 Rome Italy', 'Via del Boschetto 13, 00184 Rome Italy', 'Viale Shakespeare 29, 00144 Rome Italy']",3.0,1,1,1,1,0,1,0,0,Rome,99,160,7
222,Le Meridien Visconti Rome,"['Via Federico Cesi 37, 00193 Rome Italy', 'Via Flaminia 215, 00196 Rome Italy', '', 'Via Tommaso Salvini 18, 00197 Rome Italy', 'Via del Boschetto 13, 00184 Rome Italy', 'Viale Shakespeare 29, 00144 Rome Italy']",3.0,1,1,1,1,0,1,0,0,Rome,99,160,7
223,Le Meridien Visconti Rome,"['Via Federico Cesi 37, 00193 Rome Italy', 'Via Flaminia 215, 00196 Rome Italy', '', 'Via Tommaso Salvini 18, 00197 Rome Italy', 'Via del Boschetto 13, 00184 Rome Italy', 'Viale Shakespeare 29, 00144 Rome Italy']",3.0,1,1,1,1,0,1,0,0,Rome,99,160,7
224,Le Meridien Visconti Rome,"['Via Federico Cesi 37, 00193 Rome Italy', 'Via Flaminia 215, 00196 Rome Italy', '', 'Via Tommaso Salvini 18, 00197 Rome Italy', 'Via del Boschetto 13, 00184 Rome Italy', 'Viale Shakespeare 29, 00144 Rome Italy']",3.0,1,1,1,1,0,1,0,0,Rome,99,160,7
225,Bellezza al Colosseo Luxury B&B and Apartments,"[""Via Capo d'Africa 26, 00184 Rome Italy"", 'Via Giuseppe Zanardelli 36 Ii Piano, 00186 Rome Italy', 'Via Sistina 69, 00187 Rome Italy', '458, Via Aurelia, 00165 Rome Italy', ""Via Giosue' Carducci 2, 00187 Rome Italy"", 'Via San Vincenzo 10, 00187 Rome Italy']",4.0,1,1,1,1,0,1,0,0,Rome,168,19,7
226,Bellezza al Colosseo Luxury B&B and Apartments,"[""Via Capo d'Africa 26, 00184 Rome Italy"", 'Via Giuseppe Zanardelli 36 Ii Piano, 00186 Rome Italy', 'Via Sistina 69, 00187 Rome Italy', '458, Via Aurelia, 00165 Rome Italy', ""Via Giosue' Carducci 2, 00187 Rome Italy"", 'Via San Vincenzo 10, 00187 Rome Italy']",4.0,1,1,1,1,0,1,0,0,Rome,168,19,7
227,Bellezza al Colosseo Luxury B&B and Apartments,"[""Via Capo d'Africa 26, 00184 Rome Italy"", 'Via Giuseppe Zanardelli 36 Ii Piano, 00186 Rome Italy', 'Via Sistina 69, 00187 Rome Italy', '458, Via Aurelia, 00165 Rome Italy', ""Via Giosue' Carducci 2, 00187 Rome Italy"", 'Via San Vincenzo 10, 00187 Rome Italy']",4.0,1,1,1,1,0,1,0,0,Rome,168,19,7
228,Bellezza al Colosseo Luxury B&B and Apartments,"[""Via Capo d'Africa 26, 00184 Rome Italy"", 'Via Giuseppe Zanardelli 36 Ii Piano, 00186 Rome Italy', 'Via Sistina 69, 00187 Rome Italy', '458, Via Aurelia, 00165 Rome Italy', ""Via Giosue' Carducci 2, 00187 Rome Italy"", 'Via San Vincenzo 10, 00187 Rome Italy']",4.0,1,1,1,1,0,1,0,0,Rome,168,19,7
229,Bellezza al Colosseo Luxury B&B and Apartments,"[""Via Capo d'Africa 26, 00184 Rome Italy"", 'Via Giuseppe Zanardelli 36 Ii Piano, 00186 Rome Italy', 'Via Sistina 69, 00187 Rome Italy', '458, Via Aurelia, 00165 Rome Italy', ""Via Giosue' Carducci 2, 00187 Rome Italy"", 'Via San Vincenzo 10, 00187 Rome Italy']",4.0,1,1,1,1,0,1,0,0,Rome,168,19,7
